-1.488,0.528,87.226
-1.488,0.528,87.225
-1.487,0.528,87.224
-1.487,0.528,87.224
-1.486,0.528,87.224
-1.486,0.528,87.225
-1.485,0.528,87.226
-1.485,0.528,87.222
-1.484,0.528,87.222
-1.484,0.528,87.221
-1.483,0.528,87.221
-1.483,0.528,87.226
-1.482,0.528,87.223
-1.482,0.528,87.218
-1.481,0.528,87.217
-1.481,0.528,87.214
-1.48,0.528,87.208
-1.48,0.528,87.207
-1.479,0.528,87.206
-1.479,0.528,87.204
-1.479,0.528,87.206
-1.478,0.528,87.205
-1.478,0.528,87.204
-1.477,0.528,87.216
-1.476,0.528,87.236
-1.476,0.528,87.242
-1.379,0.534,87.273
-1.356,0.536,87.327
-1.336,0.537,87.368
-1.312,0.538,87.41
-1.276,0.54,87.493
-1.244,0.542,87.575
-1.21,0.543,87.67
-1.158,0.546,87.812
-1.116,0.547,87.942
-1.07,0.548,88.092
-1.005,0.55,88.327
-0.953,0.552,88.534
-0.899,0.553,88.755
-0.824,0.554,89.067
-0.785,0.555,89.23
-0.705,0.555,89.593
-0.621,0.556,89.988
-0.557,0.556,90.277
-0.491,0.555,90.575
-0.403,0.554,91.004
-0.336,0.553,91.342
-0.268,0.552,91.673
-0.176,0.549,92.114
-0.107,0.546,92.461
-0.036,0.543,92.814
0.06,0.538,93.275
0.108,0.535,93.509
0.206,0.529,93.986
0.304,0.522,94.478
0.354,0.518,94.725
0.451,0.509,95.205
0.544,0.498,95.704
0.614,0.49,96.093
0.684,0.481,96.477
0.776,0.468,96.976
0.846,0.458,97.354
0.915,0.448,97.739
1.008,0.433,98.251
1.078,0.422,98.631
1.149,0.409,99.021
1.245,0.392,99.555
1.316,0.378,99.95
1.389,0.364,100.346
1.486,0.344,100.895
1.536,0.334,101.178
1.634,0.312,101.715
1.734,0.288,102.26
1.809,0.27,102.689
1.884,0.252,103.121
1.984,0.226,103.668
2.059,0.206,104.075
2.133,0.186,104.49
2.232,0.159,105.045
2.281,0.145,105.319
2.378,0.116,105.852
2.474,0.086,106.381
2.546,0.064,106.781
2.617,0.041,107.17
2.711,0.01,107.694
2.758,-0.006,107.958
2.852,-0.039,108.477
2.946,-0.072,108.987
2.993,-0.09,109.237
3.087,-0.124,109.762
3.18,-0.16,110.281
3.251,-0.187,110.666
3.322,-0.216,111.045
3.415,-0.254,111.566
3.487,-0.284,111.968
3.558,-0.314,112.36
3.654,-0.356,112.872
3.702,-0.378,113.13
3.798,-0.421,113.645
3.896,-0.466,114.171
3.945,-0.489,114.422
4.043,-0.536,114.908
4.143,-0.584,115.391
4.218,-0.622,115.749
4.295,-0.66,116.107
4.397,-0.713,116.544
4.448,-0.74,116.744
4.552,-0.794,117.143
4.658,-0.85,117.555
4.737,-0.893,117.85
4.818,-0.937,118.126
4.925,-0.997,118.492
5.007,-1.043,118.776
5.089,-1.089,119.065
5.199,-1.153,119.435
5.253,-1.185,119.618
5.363,-1.25,119.975
5.473,-1.315,120.319
5.555,-1.364,120.555
5.638,-1.413,120.759
5.747,-1.48,121.005
5.801,-1.513,121.122
5.91,-1.581,121.341
6.02,-1.649,121.509
6.102,-1.7,121.637
6.185,-1.752,121.783
6.296,-1.822,121.976
6.379,-1.876,122.106
6.462,-1.93,122.235
6.574,-2.002,122.419
6.63,-2.038,122.509
6.715,-2.094,122.637
6.857,-2.187,122.865
6.943,-2.244,122.98
7.03,-2.301,123.09
7.146,-2.379,123.227
7.235,-2.437,123.321
7.323,-2.497,123.412
7.443,-2.577,123.537
7.532,-2.637,123.619
7.623,-2.699,123.709
7.744,-2.782,123.846
7.805,-2.824,123.911
7.927,-2.908,124.032
8.049,-2.992,124.165
8.111,-3.034,124.23
8.233,-3.119,124.347
8.355,-3.203,124.472
8.415,-3.245,124.528
8.536,-3.329,124.639
8.656,-3.413,124.728
8.747,-3.476,124.773
8.837,-3.539,124.816
8.957,-3.623,124.872
9.047,-3.686,124.905
9.137,-3.749,124.934
9.258,-3.834,124.958
9.348,-3.897,124.98
9.438,-3.96,125.021
9.559,-4.045,125.062
9.619,-4.088,125.077
9.739,-4.173,125.098
9.86,-4.257,125.133
9.951,-4.321,125.165
10.042,-4.384,125.191
10.164,-4.469,125.225
10.255,-4.533,125.247
10.346,-4.597,125.273
10.468,-4.683,125.306
10.559,-4.747,125.335
10.651,-4.811,125.366
10.773,-4.898,125.397
10.834,-4.942,125.409
10.956,-5.029,125.451
11.078,-5.116,125.474
11.139,-5.159,125.488
11.261,-5.247,125.521
11.384,-5.335,125.559
11.476,-5.401,125.583
11.568,-5.467,125.607
11.69,-5.555,125.647
11.781,-5.62,125.677
11.872,-5.685,125.704
11.993,-5.772,125.733
12.084,-5.838,125.758
12.174,-5.904,125.789
12.295,-5.991,125.824
12.385,-6.057,125.841
12.475,-6.122,125.847
12.595,-6.209,125.858
12.654,-6.253,125.858
12.744,-6.319,125.842
12.894,-6.427,125.808
12.984,-6.492,125.771
13.073,-6.557,125.732
13.193,-6.643,125.657
13.282,-6.707,125.587
13.372,-6.772,125.515
13.491,-6.857,125.422
13.551,-6.899,125.37
13.671,-6.984,125.231
13.791,-7.069,125.085
13.88,-7.131,124.966
13.97,-7.194,124.837
14.09,-7.277,124.651
14.15,-7.318,124.542
14.271,-7.4,124.317
14.392,-7.481,124.083
14.482,-7.541,123.893
14.573,-7.601,123.682
14.694,-7.679,123.379
14.785,-7.737,123.143
14.876,-7.795,122.919
14.998,-7.871,122.586
15.089,-7.928,122.295
15.18,-7.985,121.969
15.301,-8.058,121.508
15.393,-8.112,121.139
